# Rime user dictionary
#@/db_name	moqi
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1633
#@/user_id	b9b9d84e-d65d-4f94-b6e5-e4206f09e7a8
an[bn pd[ff 	安排	c=1 d=0.467666 t=1633
lc 	老	c=2 d=0.234179 t=1633
lc ul[dx 	老爽	c=1 d=0.232236 t=1633
lc[lb po[dn 	老婆	c=1 d=0.00256704 t=1633
lc[lb rf[pn 	老人	c=2 d=1.29518 t=1633
ld[am yr[dx 	来源	c=1 d=0.000765486 t=1633
le 	了	c=1 d=0.00802792 t=1633
li 	里	c=1 d=0.00556053 t=1633
li[iw hd[bk 	厉害	c=1 d=0.29523 t=1633
li[tt mm[ao 	里面	c=2 d=0.00894854 t=1633
lk[ry dc[sc 	领导	c=2 d=0.264808 t=1633
ll[ar ge[rl 	两个	c=1 d=0.00647375 t=1633
lm[et wh[kx 	联网	c=1 d=0.0866084 t=1633
lm[zi jp[fn 	连接	c=1 d=0.0297478 t=1633
lo[sx 	罗	c=3 d=0.385431 t=1633
lo[sx zs[bu 	罗宗	c=3 d=0.222515 t=1633
lo[zx ji[ie 	逻辑	c=1 d=0.293758 t=1633
lp[dd bn[fy 	列表	c=4 d=0.0258135 t=1633
lp[dd iu[uu ld[am 	列出来	c=0 d=0.0650509 t=1633
lq[di ig[hw 	流程	c=7 d=0.925853 t=1633
lq[di ig[hw tu[kd 	流程图	c=1 d=0.000323925 t=1633
lq[wd 	刘	c=3 d=0.631451 t=1633
lq[wd zs[bx 	刘总	c=1 d=0.425283 t=1633
ls[vl 	笼	c=2 d=0.155471 t=1633
ls[vl zi[la 	笼子	c=1 d=0.00115345 t=1633
lu 	路	c=1 d=0.244143 t=1633
lu[zk kz[la 	路口	c=1 d=0.250324 t=1633
lv 	率	c=2 d=0.0143363 t=1633
ly[il xy[yo 	轮询	c=1 d=0.000561443 t=1633
ma 	吗	c=0 d=0.0418952 t=1633
ma[va lu[zk uh[ba 	马路上	c=1 d=0.00386807 t=1633
md 	买	c=1 d=0.00282944 t=1633
md nq[pu nd[nn 	买牛奶	c=1 d=0.00951391 t=1633
md[ad ve[yo 	买着	c=1 d=0.00941925 t=1633
md[ud 	卖	c=1 d=0.0096577 t=1633
mf[dv kj[mm 	门槛	c=2 d=0.0065595 t=1633
mh 	忙	c=1 d=0.224249 t=1633
mi 	米	c=1 d=0.172045 t=1633
mi[bu du[gy 	密度	c=2 d=0.00215363 t=1633
mj[dl 	满	c=1 d=0.000437252 t=1633
mj[dl ls[vl 	满笼	c=1 d=0.000997758 t=1633
mk[oo bd[po 	明白	c=1 d=0.0539337 t=1633
mk[oo ln[al 	明了	c=1 d=0.148823 t=1633
mk[oo tm[ad 	明天	c=1 d=0.0103318 t=1633
mk[oo tm[ad hd[zb ng[sb ii[kv de[bu 	明天还能吃的	c=1 d=0.00431784 t=1633
mm 	面	c=1 d=0.0140519 t=1633
mm[de 	免	c=3 d=1.29642 t=1633
mo[lt ji[zb 	墨迹	c=0 d=0.0148823 t=1633
mo[md ni[fr 	模拟	c=1 d=0.0197421 t=1633
mo[md xk[kt 	模型	c=0 d=0.00193512 t=1633
mu[ke bn[mu 	目标	c=1 d=0.0415857 t=1633
mu[ke qm[bd 	目前	c=2 d=0.020637 t=1633
mu[ke qm[bd ui[wj ih[tp 	目前市场	c=1 d=0.0692522 t=1633
mw 	没	c=1 d=0.008271 t=1633
mw[du qk[yo 	没请	c=1 d=0.447088 t=1633
mw[du uo[yx 	没说	c=1 d=0.157237 t=1633
mw[du xp[by 	没写	c=1 d=0.173774 t=1633
mw[du ys[kf 	没用	c=1 d=0.000796726 t=1633
mw[du yz[uo 	没有	c=9 d=0.341451 t=1633
mw[du zd[ut 	没在	c=1 d=0.00771183 t=1633
mw[mm mw[mm 	梅梅	c=1 d=0.00499159 t=1633
mw[pm yt[ke 	每月	c=3 d=1.88502 t=1633
mw[yd 	美	c=1 d=0.205975 t=1633
na 	那	c=1 d=0.178173 t=1633
na[ke ge[rl 	哪个	c=2 d=0.995624 t=1633
na[ke jx[bu 	哪家	c=1 d=0.00334597 t=1633
na[ke xp[ve 	哪些	c=3 d=0.214137 t=1633
na[ve bm[zl 	那边	c=2 d=0.0248553 t=1633
na[ve bm[zl yz[uo ui[oc jm[mo 	那边有时间	c=1 d=0.000455097 t=1633
na[ve ge[rl 	那个	c=1 d=0.00396599 t=1633
na[ve jq[wy 	那就	c=1 d=0.00254229 t=1633
na[ve jq[wy xr[ze ve[zw ge[rl 	那就选这个	c=1 d=0.00232276 t=1633
ne 	呢	c=1 d=0.88692 t=1633
ng 	能	c=1 d=0.00111378 t=1633
ni 	你	c=3 d=0.17119 t=1633
ni bn[mu vu[dv yi[aa xx[ab 	你标注一下	c=1 d=0.000569928 t=1633
ni na[ve bm[zl 	你那边	c=1 d=0.0154523 t=1633
ni[rx hc[nz 	你好	c=2 d=0.0151198 t=1633
ni[rx kj[uo kj[uo 	你看看	c=2 d=0.345424 t=1633
ni[rx kj[uo yi[aa xx[ab 	你看一下	c=2 d=0.194085 t=1633
ni[rx mf[rm 	你们	c=2 d=0.026551 t=1633
ni[rx na[ve li[tt 	你那里	c=1 d=0.13466 t=1633
ni[rx ve[zw ge[rl 	你这个	c=1 d=0.852144 t=1633
ni[rx vi[uk dc[zz 	你知道	c=1 d=0.165299 t=1633
ni[rx wf[mk yi[aa xx[ab 	你问一下	c=1 d=0.0258615 t=1633
ni[rx xl[mx 	你想	c=0 d=0.000477195 t=1633
ni[rx xl[mx ii[kv ua[kg 	你想吃啥	c=1 d=0.00479587 t=1633
ni[rx xm[ne 	你先	c=1 d=0.00937227 t=1633
nj[yv dm[vh 	难点	c=3 d=0.308833 t=1633
nj[yv yi[ow ig[hw du[gy 	难易程度	c=1 d=0.0642483 t=1633
nm 	年	c=2 d=0.00374699 t=1633
nm[pf jx[ry 	年假	c=2 d=0.906669 t=1633
nq[pu nd[nn 	牛奶	c=0 d=0.000946646 t=1633
ns 	弄	c=2 d=0.00407735 t=1633
ns[wc hc[nz 	弄好	c=1 d=0.00162053 t=1633
nw[kr rs[bg 	内容	c=2 d=0.0369632 t=1633
pb[fk jp[fn 	拼接	c=2 d=0.116789 t=1633
pb[kk pd[pu 	品牌	c=1 d=0.0746459 t=1633
pd[ff iu[em 	排除	c=2 d=0.0891017 t=1633
pg[mo uh 	棚上	c=4 d=0.598104 t=1633
pi[ke pw[yj du[gy 	匹配度	c=1 d=0.0987662 t=1633
pj[bd 	判	c=1 d=0.00421123 t=1633
pk[au an[bn 	平安	c=1 d=0.0031354 t=1633
pk[au ju[uk 	平局	c=1 d=0.122456 t=1633
pk[au jy[ty 	平均	c=2 d=0.933362 t=1633
pk[au ui[oc 	平时	c=1 d=0.00301245 t=1633
pk[uk 	屏	c=1 d=0.40657 t=1633
pk[uk mu[cj 	屏幕	c=1 d=0.039248 t=1633
pm[rg yi[bq 	便宜	c=1 d=0.00305798 t=1633
pw[bk qm[jj 	赔钱	c=0 d=0.000398587 t=1633
pw[tk xy[yi 	培训	c=4 d=0.0418705 t=1633
pw[yj he[rk 	配合	c=0 d=0.0900325 t=1633
pw[yj he[rk yj[uk fa[fy 	配合研发	c=1 d=0.904837 t=1633
pw[yj vi[sq 	配置	c=1 d=0.0295791 t=1633
qi[cb ta[ry 	其他	c=3 d=0.156885 t=1633
qi[cb vs[kl 	其中	c=2 d=0.184899 t=1633
qi[du 	漆	c=2 d=0.00602679 t=1633
qi[hk ds[yl ye[ab 	启动页	c=1 d=0.307279 t=1633
qi[hk ys[kf 	启用	c=2 d=0.480541 t=1633
qi[rv ye[la 	企业	c=3 d=0.0789593 t=1633
qk 	请	c=1 d=0.0265162 t=1633
qk[xo kl[dx 	情况	c=5 d=1.15567 t=1633
qk[xo xu[so 	情绪	c=2 d=0.038973 t=1633
ql[gi vi[nd 	强制	c=2 d=0.00166865 t=1633
qm 	前	c=1 d=0.349938 t=1633
qm[bd dr[le 	前端	c=2 d=0.28457 t=1633
qr 	全	c=0 d=8.80518e-05 t=1633
qr lq[di ig[hw 	全流程	c=1 d=0.000884932 t=1633
qr[jd 	券	c=1 d=0.00323088 t=1633
qr[jd hz[ik 	券后	c=1 d=0.00244185 t=1633
qr[rw pk[uk 	全屏	c=1 d=0.0485578 t=1633
qt[uy rf[yr 	确认	c=1 d=0.000992781 t=1633
qu 	去	c=1 d=0.00169512 t=1633
qu[kx yu[ta 	区域	c=1 d=0.108609 t=1633
qu[ts dn[fu 	去掉	c=3 d=0.975752 t=1633
qu[ts le[al 	去了	c=1 d=0.000804733 t=1633
qu[ts nm[pf 	去年	c=3 d=0.483835 t=1633
qu[ts vc[fg 	去找	c=1 d=0.0156142 t=1633
qy 	群	c=1 d=0.00775048 t=1633
re[cx 	惹	c=1 d=0.0168231 t=1633
rf[pn bc[rm 	人保	c=1 d=0.00267181 t=1633
rf[pn yr[kb 	人员	c=1 d=0.00032882 t=1633
rh[yu wo[ga 	让我	c=0 d=0.000442715 t=1633
rh[yu wo[ga wf[mk yi[aa xx[ab 	让我问一下	c=1 d=0.00444934 t=1633
rj[xh hz[ik 	然后	c=6 d=1.19817 t=1633
rr[iq jm[rn 	软件	c=6 d=0.372053 t=1633
ru 	如	c=2 d=0.676994 t=1633
ru[nk go[tm 	如果	c=5 d=1.7044 t=1633
ru[nk go[tm mw[du yz[uo 	如果没有	c=1 d=0.000642592 t=1633
ru[nk he[rk 	如何	c=2 d=0.436321 t=1633
ru[nk he[rk ia[md xy[yo 	如何查询	c=1 d=0.121846 t=1633
rv 	瑞	c=0 d=4.55097e-05 t=1633
sj[ae vs[hv 	三种	c=1 d=0.0837432 t=1633
so[hj yi[lr 	所以	c=1 d=0.00142298 t=1633
so[hj yi[lr uo[yx 	所以说	c=1 d=0.0015415 t=1633
so[hj yz[uo 	所有	c=1 d=0.67032 t=1633
so[sb xn[lb 	缩小	c=1 d=0.246597 t=1633
sr 	算	c=1 d=0.00198925 t=1633
sr[vc fa[dq 	算法	c=2 d=0.0908536 t=1633
sr[vc xx[ab 	算下	c=1 d=0.00207043 t=1633
su[zu sr[vc 	速算	c=1 d=0.634448 t=1633
sz[fy so[ux 	搜索	c=1 d=0.336216 t=1633
ta 	他	c=4 d=0.0369765 t=1633
ta wf[wx jm[rn mk[xk 	他文件名	c=1 d=0.000488095 t=1633
ta[ry mf[rm 	他们	c=0 d=5.69928e-05 t=1633
td[dd da[ar 	太大	c=1 d=0.241714 t=1633
te[nc vg[rv vi[rq 	特征值	c=1 d=0.00109172 t=1633
tg[om xy[yu 	腾讯	c=1 d=0.000397625 t=1633
th[gk 	唐	c=3 d=0.294464 t=1633
th[gk jk[sj li[wl 	唐经理	c=2 d=0.0102731 t=1633
th[gk uj[kl 	唐山	c=1 d=0.00848038 t=1633
ti[fz gs[rg 	提供	c=1 d=0.0948935 t=1633
ti[fz iu[uu 	提出	c=1 d=0.0110536 t=1633
ti[fz jn[wf 	提交	c=3 d=1.50272 t=1633
ti[fz qm[bd 	提前	c=2 d=0.951998 t=1633
ti[fz qu[ey 	提取	c=1 d=0.00109719 t=1633
ti[fz ui[ex 	提示	c=2 d=0.0014347 t=1633
ti[fz xk[yu 	提醒	c=3 d=0.00246805 t=1633
tj[gu il[bw 	弹窗	c=1 d=0.000706632 t=1633
tk[rd ys[kf 	停用	c=1 d=0.190139 t=1633
tm 	天	c=5 d=2.02543 t=1633
tm[ad jb[dy 	天津	c=8 d=1.51503 t=1633
tn 	条	c=1 d=0.000305061 t=1633
tn[wm jm[rn 	条件	c=1 d=0.000746586 t=1633
tn[yk pb[vy 	调频	c=1 d=0.960789 t=1633
tn[yk vg[uv 	调整	c=1 d=0.0871609 t=1633
to[eb lo[ix yi[ry 	陀螺仪	c=1 d=0.0204453 t=1633
tr[kc dv[er 	团队	c=1 d=0.0611149 t=1633
ts[kk bu[vu 	同步	c=1 d=0.00182715 t=1633
ts[zy go[zc 	通过	c=1 d=0.00680566 t=1633
ts[zy su[rg yi[ow ds[xv 	通俗易懂	c=1 d=0.00369786 t=1633
tu[bq rj[xh 	突然	c=0 d=3.57992e-05 t=1633
tu[kd pm[pv 	图片	c=2 d=0.00164794 t=1633
tu[kd vs[kl 	图中	c=1 d=0.00138785 t=1633
tu[zm vs[kl 	途中	c=1 d=0.00139481 t=1633
tv[zg iu[uu 	退出	c=1 d=0.00737249 t=1633
tz[fu ru[pn 	投入	c=1 d=0.0916297 t=1633
tz[fu su[yi 	投诉	c=1 d=0.00166989 t=1633
tz[fu ww[ky 	投喂	c=1 d=0.0930145 t=1633
ua 	啥	c=3 d=0.0482182 t=1633
ua[kg ui[oc hz[ru 	啥时候	c=0 d=3.83949e-05 t=1633
ua[kg ui[oc hz[ru zz 	啥时候走	c=1 d=0.000385874 t=1633
uc[hw lu[eu 	烧录	c=0 d=0.000444934 t=1633
uc[hw lu[eu ig[hw xu[gy 	烧录程序	c=1 d=0.00447164 t=1633
uc[xp ii[kv 	少吃	c=1 d=0.00474815 t=1633
ud[vj xr[ze 	筛选	c=1 d=0.344728 t=1633
ue he 	社和	c=1 d=0.400517 t=1633
ue[fy xl[ru tz[dd 	摄像头	c=5 d=0.577381 t=1633
ue[pt vc[fk 	社招	c=1 d=0.000426457 t=1633
ue[yu bw[wt 	设备	c=3 d=0.0998857 t=1633
ue[yu bw[wt ug[pc ji[sj 	设备升级	c=1 d=0.0867261 t=1633
ue[yu ji[yu 	设计	c=1 d=0.0833256 t=1633
ue[yu ji[yu yi[aa ge[rl 	设计一个	c=0 d=0.00183156 t=1633
ue[yu vi[sq 	设置	c=2 d=0.365475 t=1633
uf[bu yt[mx 	审阅	c=2 d=0.534277 t=1633
uf[ol qk[yo 	申请	c=1 d=0.0277367 t=1633
uf[ol zs 	申总	c=1 d=0.0148464 t=1633
uf[pu qi[dk 	神奇	c=0 d=0.000225411 t=1633
uf[ru me[ps 	什么	c=2 d=0.0953447 t=1633
uf[ru me[ps ui[oc hz[ru 	什么时候	c=2 d=0.0279963 t=1633
uf[zc ti[rb 	身体	c=1 d=0.375311 t=1633
ug[pc ji[sj 	升级	c=2 d=0.335291 t=1633
ug[pc ji[sj bc[bs 	升级包	c=1 d=0.0420036 t=1633
ug[pf iu[uu 	生出	c=0 d=0.0733447 t=1633
ug[pf iu[uu do[xx uc[xp qm[jj 	生出多少钱	c=1 d=0.737123 t=1633
ug[pf qi[pv 	生气	c=1 d=0.0169922 t=1633
ug[uo qm[jj 	省钱	c=1 d=0.00524752 t=1633
uh 	上	c=3 d=0.153248 t=1633
uh ls[vl ti[fz xk[yu 	上笼提醒	c=1 d=0.000696112 t=1633
uh ls[vl zi[db ge[mk 	上笼资格	c=1 d=0.000665481 t=1633
uh[ba cg[uy 	上层	c=1 d=0.0558548 t=1633
uh[ba hx[do 	上滑	c=1 d=0.00683978 t=1633
uh[ba ir[rv dc[gd 	上传到	c=0 d=0.00434998 t=1633
uh[ba ir[rv dc[gd le 	上传到了	c=1 d=0.0437178 t=1633
uh[ba la[fl 	上拉	c=2 d=0.0130332 t=1633
uh[ba mm[ao 	上面	c=1 d=0.00612731 t=1633
uh[ba ww[rl ji[mj 	上位机	c=2 d=0.00211761 t=1633
uh[ba xm[sj 	上线	c=1 d=0.782705 t=1633
uh[ba yi[aa uz[bz 	上一首	c=1 d=0.00744658 t=1633
ui 	是	c=31 d=3.79079 t=1633
ui fu[vc he[rk di[fu kz[fk 	是符合抵扣	c=1 d=0.548812 t=1633
ui zf[vx me[ps 	是怎么	c=1 d=0.537944 t=1633
ui[bd ui[fy 	实施	c=1 d=0.22091 t=1633
ui[bd ui[oc 	实时	c=1 d=0.000300519 t=1633
ui[bd xm[wj 	实现	c=15 d=0.739237 t=1633
ui[bd xm[wj jp[sk go[tm 	实现结果	c=1 d=0.064894 t=1633
ui[gy 	事	c=1 d=0.0513033 t=1633
ui[gy qk[xo 	事情	c=1 d=0.000949097 t=1633
ui[lj fu[rc 	师傅	c=2 d=0.874083 t=1633
ui[oc hz[ru 	时候	c=4 d=0.158436 t=1633
ui[oc jm[mo 	时间	c=0 d=0.00502874 t=1633
ui[oz do[xx uc[xp 	是多少	c=1 d=0.12307 t=1633
ui[oz fz[bk 	是否	c=4 d=1.10385 t=1633
ui[oz ua[kg 	是啥	c=1 d=0.00193045 t=1633
ui[oz uf[ru me[ps 	是什么	c=2 d=0.577677 t=1633
ui[oz uf[ru me[ps yi[lx si[tx 	是什么意思	c=1 d=0.0739031 t=1633
ui[oz ve[zw ge[rl 	是这个	c=1 d=0.000808767 t=1633
ui[oz yi[aa ge[rl 	是一个	c=1 d=0.00640933 t=1633
ui[pf ge[mk 	失格	c=1 d=0.000742862 t=1633
ui[pj 	视	c=1 d=0.105928 t=1633
ui[pj jt[xj 	视觉	c=0 d=0.00699482 t=1633
ui[pj jt[xj kl[mw jx[lm 	视觉框架	c=1 d=0.0702988 t=1633
ui[pj pb[vy 	视频	c=2 d=0.125581 t=1633
ui[rl de[rc 	使得	c=1 d=0.00341356 t=1633
ui[rl ys[kf 	使用	c=4 d=0.188255 t=1633
ui[rl ys[kf uh 	使用上	c=1 d=0.0426384 t=1633
ui[wj ih[tp 	市场	c=3 d=0.0395761 t=1633
ui[wj ih[tp bu[le 	市场部	c=2 d=0.0202068 t=1633
ui[wj vh[pn 	市长	c=1 d=0.0315873 t=1633
ui[yv bp[kd 	识别	c=11 d=0.574306 t=1633
ui[zu pw[yj 	适配	c=1 d=0.0483156 t=1633
uj[bk yh[yl 	赡养	c=2 d=1.28872 t=1633
uj[cd 	删	c=1 d=0.000788798 t=1633
uo 	说	c=2 d=0.0129594 t=1633
uo[yx hx[yu 	说话	c=1 d=0.0199405 t=1633
uo[yx mk[oo 	说明	c=2 d=0.11815 t=1633
uo[yx ui[oz 	说是	c=1 d=0.0133665 t=1633
uo[yx yi[aa xx[ab 	说一下	c=3 d=0.459772 t=1633
uu[mi li[wl 	梳理	c=1 d=0.0049667 t=1633
uu[mw 	数	c=1 d=0.000757869 t=1633
uu[mw ju[fg 	数据	c=9 d=0.671541 t=1633
uu[mw ju[fg da[ar pk[uk 	数据大屏	c=2 d=0.0824434 t=1633
uu[mw ju[fg yj[mq vg[yv 	数据验证	c=1 d=0.000590229 t=1633
uu[mw ll[ol 	数量	c=1 d=0.0131019 t=1633
uu[mw zi[bz 	数字	c=1 d=0.000441647 t=1633
uv[hx 	税	c=1 d=0.591555 t=1633
uv[hx fw[fb 	税费	c=2 d=1.32432 t=1633
ux[ud xb[lj 	刷新	c=1 d=0.000302025 t=1633
uz[jw fw[fb 	收费	c=1 d=0.418952 t=1633
uz[jw ru[pn 	收入	c=1 d=0.551563 t=1633
uz[jw ww[um 	收尾	c=1 d=0.786628 t=1633
uz[pf ji[mj hc[kk 	手机号	c=1 d=0.332871 t=1633
uz[pf ui[fl 	手势	c=2 d=0.013038 t=1633
vc 	找	c=1 d=0.000584356 t=1633
vc[fg ge[rl 	找个	c=1 d=0.109379 t=1633
vc[fg ge[rl ui[oc jm[mo 	找个时间	c=1 d=0.0505395 t=1633
vc[fg le[al 	找了	c=1 d=0.00286554 t=1633
vc[oh gu[iy 	照顾	c=1 d=0.0219278 t=1633
vc[tx 	赵	c=1 d=0.164474 t=1633
ve 	这	c=2 d=0.00326651 t=1633
ve[zw bm[zl 	这边	c=1 d=0.00155699 t=1633
ve[zw ge[rl 	这个	c=10 d=0.205142 t=1633
ve[zw ge[rl ui[oz 	这个是	c=2 d=0.0221594 t=1633
ve[zw kk[tg 	这块	c=3 d=0.137771 t=1633
ve[zw li[tt mm[ao 	这里面	c=1 d=0.000418012 t=1633
ve[zw ll[ar 	这两	c=1 d=0.000850233 t=1633
ve[zw ll[ar ge[rl 	这两个	c=1 d=0.985112 t=1633
ve[zw me[ps 	这么	c=0 d=0.000261211 t=1633
ve[zw me[ps uf[pu qi[dk 	这么神奇	c=1 d=0.00226541 t=1633
ve[zw ui[oz 	这是	c=1 d=0.0186856 t=1633
ve[zw vz[kk 	这周	c=1 d=0.024972 t=1633
ve[zw xp[ve 	这些	c=0 d=4.13853e-05 t=1633
ve[zw xp[ve qi[rv ye[la 	这些企业	c=1 d=0.000415927 t=1633
vf[jb 	帧	c=1 d=0.000547581 t=1633
vf[ju dv[yc 	针对	c=1 d=0.0107269 t=1633
vg[av ih[xj 	正常	c=3 d=0.0245409 t=1633
vg[av ui[oz 	正是	c=0 d=0.000852289 t=1633
vg[av ui[oz hr[wb jk[te 	正是环境	c=1 d=0.00856561 t=1633
vg[uv li[wl 	整理	c=1 d=0.744532 t=1633
vh 	张	c=5 d=0.0973706 t=1633
vh[bi hc[kk 	账号	c=1 d=0.913931 t=1633
vh[di 	涨	c=1 d=0.00235786 t=1633
vh[di le[al 	涨了	c=0 d=0.000235786 t=1633
vi 	只	c=0 d=0.000142298 t=1633
vi kc[lk lv[hx 	只考虑	c=1 d=0.00143012 t=1633
vi[kb yz[uo 	只有	c=1 d=0.0285814 t=1633
vi[rq 	值	c=1 d=0.0182805 t=1633
vi[rq uz[bc 	值守	c=1 d=0.390628 t=1633
vj[lv zd[ut 	站在	c=1 d=0.00114769 t=1633
vj[uy ui[ex 	展示	c=1 d=0.394629 t=1633
vl[fl le[al 	撞了	c=1 d=0.00394621 t=1633
vl[lq td[tx 	状态	c=2 d=0.0217268 t=1633
vo[bm zi[la uh[ba 	桌子上	c=0 d=0.0008271 t=1633
vo[bm zi[la uh[ba yz 	桌子上有	c=1 d=0.00831246 t=1633
vr[iv xl[pk 	转向	c=0 d=0.0519442 t=1633
vr[iv xl[pk kz[fk iu[em 	转向扣除	c=1 d=0.522046 t=1633
vr[ts xl[gy 	专项	c=3 d=1.62792 t=1633
vs 	中	c=6 d=1.64694 t=1633
vs[hv 	种	c=7 d=1.76384 t=1633
vs[kl xb[lj wh[kx 	中新网	c=1 d=0.1764 t=1633
vu[dv yi[lx 	注意	c=1 d=0.00149594 t=1633
vu[pw 	朱	c=2 d=0.0898736 t=1633
vu[ql li[wl 	助理	c=1 d=0.279431 t=1633
vu[wt da[fd 	主打	c=1 d=0.075774 t=1633
vu[wt ds[yl 	主动	c=2 d=0.0217498 t=1633
vu[wt ti[oy 	主题	c=1 d=1 t=1633
vu[wt yc[xn 	主要	c=1 d=0.0275983 t=1633
vu[zu yu[xx 	逐羽	c=2 d=0.00135324 t=1633
vv[zl ih[ry 	追偿	c=0 d=0.000375375 t=1633
vy qp 	准且	c=1 d=0.0128424 t=1633
vy[dv bw[wt 	准备	c=1 d=0.0098528 t=1633
vz[kk sj[ae 	周三	c=1 d=0.0253494 t=1633
wa[nt 	娃	c=2 d=1.4059 t=1633
wf[dm du[gy 	温度	c=2 d=0.0232418 t=1633
wf[mk ni[rx 	问你	c=1 d=0.373439 t=1633
wf[mk xx[ab 	问下	c=1 d=0.000343955 t=1633
wf[mk yi[aa xx[ab 	问一下	c=3 d=0.0541112 t=1633
wf[wx an[bm 	文案	c=1 d=0.13068 t=1633
wf[wx dh[me 	文档	c=4 d=0.295097 t=1633
wf[wx jm[rn mk[xk 	文件名	c=0 d=4.85661e-05 t=1633
wh[kx lo[sk 	网络	c=3 d=1.67563 t=1633
wh[rv nm[pf 	往年	c=1 d=0.00211225 t=1633
wj[by ig[wv 	完成	c=1 d=0.759572 t=1633
wj[by vg[uv 	完整	c=1 d=0.0184997 t=1633
wo 	我	c=6 d=0.0359323 t=1633
wo fu[db ze[fb 	我负责	c=1 d=0.00946646 t=1633
wo qu[ts vc[fg 	我去找	c=1 d=0.00546167 t=1633
wo wf[mk yi[aa xx[ab 	我问一下	c=1 d=0.000367055 t=1633
wo xu[ye yc[xn 	我需要	c=1 d=0.00121866 t=1633
wo yi[lr hz[ik 	我以后	c=1 d=0.00168667 t=1633
wo[ga ba[fb 	我把	c=2 d=0.0145664 t=1633
wo[ga bu[ab yc[xn 	我不要	c=1 d=0.00201931 t=1633
wo[ga gf[zg 	我跟	c=1 d=0.00535353 t=1633
wo[ga gf[zg ni[rx uo[yx 	我跟你说	c=1 d=0.00891518 t=1633
wo[ga hd[zb 	我还	c=1 d=0.00782838 t=1633
wo[ga hd[zb yz[uo 	我还有	c=1 d=0.442639 t=1633
wo[ga kj[uo 	我看	c=1 d=0.0526021 t=1633
wo[ga mw[du 	我没	c=0 d=0.000412784 t=1633
wo[ga mw[du zd ie 	我没在车	c=1 d=0.00414854 t=1633
wo[ga ui[oz 	我是	c=0 d=0.000362464 t=1633
wo[ga ui[oz xn[lb bd[po 	我是小白	c=1 d=0.00364281 t=1633
wo[ga ve[zw bm[zl 	我这边	c=1 d=0.000863083 t=1633
wo[ga xl[mx 	我想	c=1 d=0.436049 t=1633
wo[ga xm[wj zd[ut 	我现在	c=1 d=0.0051953 t=1633
wo[ga ye[vv 	我也	c=1 d=0.00423234 t=1633
wo[ga zd[ut 	我在	c=2 d=0.0024057 t=1633
wu 	无	c=2 d=0.0013377 t=1633
wu[ay fa[dq 	无法	c=4 d=0.0879093 t=1633
wu[ay fa[dq bc[rm vg[yv 	无法保证	c=1 d=0.113608 t=1633
wu[ay ld[ub 	无赖	c=1 d=0.00398587 t=1633
wu[ay ln[ee 	无聊	c=3 d=0.0543106 t=1633
wu[ay yu[yk 	无语	c=1 d=0.00427488 t=1633
wu[nw li[wl ge[eg li[wn 	物理隔离	c=1 d=0.108067 t=1633
wu[nw lm[et wh[kx 	物联网	c=1 d=0.000407691 t=1633
wu[nw ye[la 	物业	c=3 d=0.00498105 t=1633
wu[yt bc[fy 	误报	c=1 d=0.00112497 t=1633
ww 	为	c=1 d=0.778801 t=1633
ww[am 	未	c=1 d=0.42792 t=1633
ww[am lm[et wh[kx 	未联网	c=1 d=0.818731 t=1633
ww[am lm[zi jp[fn 	未连接	c=1 d=0.826959 t=1633
ww[ky yh[yl 	喂养	c=1 d=0.0218184 t=1633
ww[ld ua[kg 	为啥	c=2 d=0.0430164 t=1633
ww[ld wo[ga 	为我	c=0 d=0.0729789 t=1633
xb[rk ge[rn 	信鸽	c=4 d=0.291475 t=1633
xi[de ie[au 	洗车	c=1 d=0.00246639 t=1633
xi[px ts[sy 	系统	c=1 d=0.00140882 t=1633
xk[kp ui[yg 	形式	c=1 d=0.000553084 t=1633
xk[rd bu[ab xk[rd 	行不行	c=0 d=0.00259911 t=1633
xk[rd ww[ld 	行为	c=1 d=0.125556 t=1633
xl[gy mu[ke 	项目	c=4 d=0.160714 t=1633
xl[mo gr[bt 	相关	c=3 d=0.0246027 t=1633
xl[mx xl[mx 	想想	c=1 d=0.0159229 t=1633
xl[wz uz[vy dc[gd 	享受到	c=1 d=0.00157264 t=1633
xl[yy xi[st 	详细	c=2 d=0.0275476 t=1633
xm 	先	c=2 d=0.0243356 t=1633
xm[oy ui[ex 	显示	c=10 d=1.215 t=1633
xm[wj yz[uo 	现有	c=1 d=0.0889216 t=1633
xm[wj zd[ut 	现在	c=6 d=0.504493 t=1633
xn 	小	c=1 d=0.00282287 t=1633
xn[lb bd[po 	小白	c=0 d=0.000362464 t=1633
xn[lb ig[hw xu[gy 	小程序	c=2 d=0.0394159 t=1633
xn[lb mi[bm 	小米	c=2 d=0.379795 t=1633
xn[lb ui[oc 	小时	c=0 d=0.0382893 t=1633
xn[lb yu[au 	小于	c=0 d=0.000540733 t=1633
xp[by de[bu 	写的	c=0 d=0.0173774 t=1633
xp[by zd[ut 	写在	c=0 d=0.0013912 t=1633
xp[by zd[ut li 	写在里	c=1 d=0.0139818 t=1633
xq 	修	c=3 d=0.0530523 t=1633
xq[hn 	秀	c=1 d=0.204948 t=1633
xq[rp fu[pw 	修复	c=1 d=0.00486835 t=1633
xq[rp gd[jw 	修改	c=6 d=1.421 t=1633
xr[ze ve[zw ge[rl 	选这个	c=0 d=0.000231117 t=1633
